2024-12-08_13-49-40,053%,Shell.java:2024-12-08_13-49-40
2024-12-08_13-51-10,093%,Shell.java:2024-12-08_13-51-10
2024-12-08_13-52-06,100%,Shell.java:2024-12-08_13-52-06
2024-12-09_13-54-42,COMP,Moto.java:2024-12-09_13-54-42;Pessoa.java:2024-12-09_13-54-42;Shell.java:2024-12-09_13-54-42
2024-12-09_13-54-47,COMP,Shell.java:2024-12-09_13-54-42;Moto.java:2024-12-09_13-54-42;Pessoa.java:2024-12-09_13-54-42
2024-12-09_13-58-50,COMP,Shell.java:2024-12-09_13-58-50;Moto.java:2024-12-09_13-58-50;Pessoa.java:2024-12-09_13-58-50
2024-12-09_13-59-25,COMP,Shell.java:2024-12-09_13-58-50;Moto.java:2024-12-09_13-59-25;Pessoa.java:2024-12-09_13-58-50
2024-12-09_13-59-47,COMP,Shell.java:2024-12-09_13-59-47;Moto.java:2024-12-09_13-59-25;Pessoa.java:2024-12-09_13-58-50
2024-12-09_14-02-09,COMP,Shell.java:2024-12-09_13-59-47;Moto.java:2024-12-09_14-02-09;Pessoa.java:2024-12-09_13-58-50
2024-12-09_14-02-27,020%,Shell.java:2024-12-09_13-59-47;Moto.java:2024-12-09_14-02-27;Pessoa.java:2024-12-09_13-58-50
2024-12-09_14-04-28,020%,Shell.java:2024-12-09_13-59-47;Moto.java:2024-12-09_14-04-28;Pessoa.java:2024-12-09_13-58-50
2024-12-09_14-04-47,040%,Shell.java:2024-12-09_13-59-47;Moto.java:2024-12-09_14-04-47;Pessoa.java:2024-12-09_13-58-50
2024-12-09_14-05-03,060%,Shell.java:2024-12-09_13-59-47;Moto.java:2024-12-09_14-05-03;Pessoa.java:2024-12-09_13-58-50
2024-12-09_14-07-08,080%,Shell.java:2024-12-09_13-59-47;Moto.java:2024-12-09_14-07-08;Pessoa.java:2024-12-09_13-58-50
2024-12-09_14-08-34,093%,Shell.java:2024-12-09_13-59-47;Moto.java:2024-12-09_14-08-34;Pessoa.java:2024-12-09_13-58-50
2024-12-09_14-08-55,100%,Shell.java:2024-12-09_13-59-47;Moto.java:2024-12-09_14-08-55;Pessoa.java:2024-12-09_13-58-50
2024-12-09_18-37-35,100%,Shell.java:2024-12-09_13-59-47;Moto.java:2024-12-09_14-08-55;Pessoa.java:2024-12-09_13-58-50
